n,d,n_circuit,n_gen,risk,cost
4,17,8,40,0.0,0.7906899999999999
4,18,8,40,0.0,0.0
4,19,8,40,0.0,0.0
4,20,8,40,0.0,0.0
4,21,8,40,0.0,0.0
4,22,8,40,0.0,0.0
4,23,8,40,0.0,0.0
4,24,8,40,0.0,0.0
4,25,8,40,0.0,0.0
4,26,8,40,0.0,0.0
4,27,8,40,0.0,0.0
4,28,8,40,0.0,0.0
4,29,8,40,0.0,0.0
4,10,8,50,0.0,0.0
4,11,8,50,0.0,0.0
4,12,8,50,0.0,0.0
4,13,8,50,0.0,0.0
4,14,8,50,0.0,0.0
4,15,8,50,0.0,0.70458
4,16,8,50,0.0,0.7155799999999999
4,17,8,50,0.0,0.7773500000000001
4,18,8,50,0.0,0.0
4,19,8,50,0.0,0.0
4,20,8,50,0.0,0.0
4,21,8,50,0.0,0.0
4,22,8,50,0.0,0.0
4,23,8,50,0.0,0.0
4,24,8,50,0.0,0.0
4,25,8,50,0.0,0.0
4,26,8,50,0.0,0.0
4,27,8,50,0.0,0.0
4,28,8,50,0.0,0.0
4,29,8,50,0.0,0.0
4,10,16,10,0.0,0.0
4,11,16,10,0.0,0.0
4,12,16,10,0.0,0.0
4,13,16,10,0.0,0.0
4,14,16,10,0.0,0.0
4,15,16,10,0.0,0.72209
4,16,16,10,0.0,0.81003
4,17,16,10,0.0,0.7894
4,18,16,10,0.0,0.0
4,19,16,10,0.0,0.0
4,20,16,10,0.0,0.0
4,21,16,10,0.0,0.0
4,22,16,10,0.0,0.0
4,23,16,10,0.0,0.0
4,24,16,10,0.0,0.0
4,25,16,10,0.0,0.0
4,26,16,10,0.0,0.0
4,27,16,10,0.0,0.0
4,28,16,10,0.0,0.0
4,29,16,10,0.0,0.0
4,10,16,20,0.0,0.0
4,11,16,20,0.0,0.0
4,12,16,20,0.0,0.0
4,13,16,20,0.0,0.0
4,14,16,20,0.0,0.0
4,15,16,20,0.0,0.72794
4,16,16,20,0.0,0.7566400000000001
4,17,16,20,0.0,0.7870199999999999
4,18,16,20,0.0,0.0
4,19,16,20,0.0,0.0
4,20,16,20,0.0,0.0
4,21,16,20,0.0,0.0
4,22,16,20,0.0,0.0
4,23,16,20,0.0,0.0
4,24,16,20,0.0,0.0
4,25,16,20,0.0,0.0
