n,d,n_circuit,n_gen,cost
4,24,16,10,0.92519009361606
4,25,16,10,0.9228232095880085
4,26,16,10,0.9320315437678104
4,27,16,10,0.9371204666539344
4,28,16,10,0.9501456878325636
4,29,16,10,0.9501868710373352
4,5,16,20,0.4272743543712827
4,6,16,20,0.4764640430971341
4,7,16,20,0.534027249660603
4,8,16,20,0.5515934249583554
4,9,16,20,0.5742398064791767
4,10,16,20,0.6327408628729746
4,11,16,20,0.6476029796731922
4,12,16,20,0.6703951267931098
4,13,16,20,0.6638967449456249
4,14,16,20,0.7308677449272901
4,15,16,20,0.72794
4,16,16,20,0.7566400000000001
4,17,16,20,0.7870199999999999
4,18,16,20,0.8241701978135503
4,19,16,20,0.8282034504321448
4,20,16,20,0.8564244048218759
4,21,16,20,0.881235469457723
4,22,16,20,0.9015669649200116
4,23,16,20,0.9163554631513404
4,24,16,20,0.9252403912559484
4,25,16,20,0.9314596744022304
4,26,16,20,0.9170099273026172
4,27,16,20,0.9441518490439804
4,28,16,20,0.9283512539731728
4,29,16,20,0.947027291633968
4,5,16,30,0.4809809185364163
4,6,16,30,0.4593243279948128
4,7,16,30,0.4999743930249478
4,8,16,30,0.5877470936504349
4,9,16,30,0.5943697886388916
4,10,16,30,0.5785573237388901
4,11,16,30,0.6452054420757871
4,12,16,30,0.7340237083638484
4,13,16,30,0.7057250809609317
4,14,16,30,0.7024494906652633
4,15,16,30,0.7523799999999999
4,16,16,30,0.7456099999999999
4,17,16,30,0.7528800000000001
4,18,16,30,0.8575749077479301
4,19,16,30,0.8787223312163688
4,20,16,30,0.8698195724877609
4,21,16,30,0.8636748784952475
4,22,16,30,0.9099757996586234
4,23,16,30,0.8955939767121966
4,24,16,30,0.9196277856849242
4,25,16,30,0.9224004766824376
4,26,16,30,0.9313585998206664
4,27,16,30,0.937495657837742
4,28,16,30,0.9434584225055994
4,29,16,30,0.9332171349139096
4,5,16,40,0.4617590047091252
4,6,16,40,0.4837201761548861
4,7,16,40,0.5645251746980106
4,8,16,40,0.5335767643938117
4,9,16,40,0.580123125630133
4,10,16,40,0.6132609482376902
4,11,16,40,0.6773232190984171
4,12,16,40,0.6391185694441461
4,13,16,40,0.6857207488053071
4,14,16,40,0.746142842754897
4,15,16,40,0.7722100000000001
4,16,16,40,0.80135
4,17,16,40,0.79925
4,18,16,40,0.8212351563835899
4,19,16,40,0.876390931980203
4,20,16,40,0.9006129956654074
4,21,16,40,0.875499061181584
4,22,16,40,0.8826899266636226
4,23,16,40,0.8995243694386238
4,24,16,40,0.9141704016025748
4,25,16,40,0.9385394504143632
4,26,16,40,0.9214121585685084
4,27,16,40,0.9269209415529158
4,28,16,40,0.9390118282799936
4,29,16,40,0.9479267759420054
4,5,16,50,0.4877586622356265
4,6,16,50,0.5197024161477637
4,7,16,50,0.5499161015226557
4,8,16,50,0.5850126254108978
4,9,16,50,0.6133942804604248
4,10,16,50,0.5964747554261007
4,11,16,50,0.6515332521778554
4,12,16,50,0.7059777349460854
4,13,16,50,0.7065010559878346
4,14,16,50,0.7300128515381258
4,15,16,50,0.7636199999999999
4,16,16,50,0.78246
4,17,16,50,0.8430500000000001
4,18,16,50,0.8558952399788249
4,19,16,50,0.8659139044960595
4,20,16,50,0.871211412057305
4,21,16,50,0.8729173248153511
4,22,16,50,0.8927807389312654
4,23,16,50,0.8969211970157518
4,24,16,50,0.915165903544858
4,25,16,50,0.919165792957107
4,26,16,50,0.9213156522482346
4,27,16,50,0.9451812408311154
4,28,16,50,0.9229273465525653
4,29,16,50,0.939839435765881
